SKU,DT,Sales,Price,SaleMean
SKU1,12/1/2010,28,220,22.18449198
SKU1,12/2/2010,13,220,22.18449198
SKU1,12/3/2010,4,220,22.18449198
SKU1,12/5/2010,79,220,22.18449198
SKU1,12/6/2010,40,220,22.18449198
SKU1,12/7/2010,12,220,22.18449198
SKU1,12/8/2010,22,220,22.18449198
SKU1,12/9/2010,25,220,22.18449198
SKU1,12/10/2010,5,220,22.18449198
SKU1,12/13/2010,10,220,22.18449198
SKU1,12/14/2010,55,220,22.18449198
SKU1,12/15/2010,42,220,22.18449198
SKU1,12/16/2010,7,220,22.18449198
SKU1,12/17/2010,42,220,22.18449198
SKU1,12/19/2010,5,220,22.18449198
SKU1,12/20/2010,3,220,22.18449198
SKU1,12/21/2010,22,220,22.18449198
SKU1,12/22/2010,11,220,22.18449198
SKU1,12/23/2010,26,220,22.18449198
SKU1,1/4/2011,6,220,22.18449198
SKU1,1/5/2011,2,220,22.18449198
SKU1,1/6/2011,3,220,22.18449198
SKU1,1/7/2011,21,220,22.18449198
SKU1,1/9/2011,10,220,22.18449198
SKU1,1/10/2011,15,220,22.18449198
SKU1,1/11/2011,8,220,22.18449198
SKU1,1/12/2011,14,220,22.18449198
SKU1,1/13/2011,7,220,22.18449198
SKU1,1/14/2011,48,220,22.18449198
SKU1,1/16/2011,8,220,22.18449198
SKU1,1/17/2011,29,220,22.18449198
SKU1,1/18/2011,5,220,22.18449198
SKU1,1/19/2011,1,220,22.18449198
SKU1,1/20/2011,52,220,22.18449198
SKU1,1/21/2011,2,220,22.18449198
SKU1,1/23/2011,3,220,22.18449198
SKU1,1/24/2011,45,220,22.18449198
SKU1,1/25/2011,13,220,22.18449198
SKU1,1/26/2011,15,220,22.18449198
SKU1,1/27/2011,12,220,22.18449198
SKU1,1/28/2011,28,220,22.18449198
SKU1,1/30/2011,3,220,22.18449198
SKU1,1/31/2011,7,220,22.18449198
SKU1,2/1/2011,10,220,22.18449198
SKU1,2/2/2011,31,220,22.18449198
SKU1,2/3/2011,6,220,22.18449198
SKU1,2/4/2011,16,220,22.18449198
SKU1,2/6/2011,2,220,22.18449198
SKU1,2/7/2011,36,220,22.18449198
SKU1,2/8/2011,64,220,22.18449198
SKU1,2/9/2011,7,220,22.18449198
SKU1,2/10/2011,6,220,22.18449198
SKU1,2/11/2011,10,220,22.18449198
SKU1,2/13/2011,5,220,22.18449198
SKU1,2/14/2011,14,220,22.18449198
SKU1,2/15/2011,104,220,22.18449198
SKU1,2/16/2011,1,220,22.18449198
SKU1,2/17/2011,23,220,22.18449198
SKU1,2/18/2011,24,220,22.18449198
SKU1,2/20/2011,11,220,22.18449198
SKU1,2/21/2011,51,220,22.18449198
SKU1,2/22/2011,14,220,22.18449198
SKU1,2/23/2011,16,220,22.18449198
SKU1,2/24/2011,27,220,22.18449198
SKU1,2/25/2011,25,220,22.18449198
SKU1,2/27/2011,2,220,22.18449198
SKU1,2/28/2011,10,220,22.18449198
SKU1,3/1/2011,9,220,22.18449198
SKU1,3/2/2011,22,220,22.18449198
SKU1,3/3/2011,73,220,22.18449198
SKU1,3/4/2011,18,220,22.18449198
SKU1,3/6/2011,10,220,22.18449198
SKU1,3/7/2011,32,220,22.18449198
SKU1,3/8/2011,10,220,22.18449198
SKU1,3/9/2011,13,220,22.18449198
SKU1,3/10/2011,9,220,22.18449198
SKU1,3/11/2011,47,220,22.18449198
SKU1,3/13/2011,1,220,22.18449198
SKU1,3/14/2011,47,220,22.18449198
SKU1,3/15/2011,53,220,22.18449198
SKU1,3/16/2011,12,220,22.18449198
SKU1,3/17/2011,13,220,22.18449198
SKU1,3/18/2011,20,220,22.18449198
SKU1,3/20/2011,28,220,22.18449198
SKU1,3/21/2011,10,220,22.18449198
SKU1,3/22/2011,13,220,22.18449198
SKU1,3/23/2011,33,220,22.18449198
SKU1,3/24/2011,59,220,22.18449198
SKU1,3/25/2011,1,220,22.18449198
SKU1,3/27/2011,3,220,22.18449198
SKU1,3/28/2011,14,220,22.18449198
SKU1,3/29/2011,44,220,22.18449198
SKU1,3/30/2011,29,220,22.18449198
SKU1,3/31/2011,40,220,22.18449198
SKU1,4/1/2011,37,220,22.18449198
SKU1,4/3/2011,3,220,22.18449198
SKU1,4/4/2011,10,220,22.18449198
SKU1,4/6/2011,8,220,22.18449198
SKU1,4/7/2011,11,220,22.18449198
SKU1,4/8/2011,27,220,22.18449198
SKU1,4/10/2011,17,220,22.18449198
SKU1,4/11/2011,7,220,22.18449198
SKU1,4/12/2011,25,220,22.18449198
SKU1,4/13/2011,20,220,22.18449198
SKU1,4/14/2011,6,220,22.18449198
SKU1,4/15/2011,62,220,22.18449198
SKU1,4/17/2011,14,220,22.18449198
SKU1,4/18/2011,41,220,22.18449198
SKU1,4/19/2011,8,220,22.18449198
SKU1,4/20/2011,24,220,22.18449198
SKU1,4/21/2011,7,220,22.18449198
SKU1,4/26/2011,33,220,22.18449198
SKU1,4/27/2011,1,220,22.18449198
SKU1,4/28/2011,18,220,22.18449198
SKU1,5/3/2011,93,220,22.18449198
SKU1,5/4/2011,20,220,22.18449198
SKU1,5/5/2011,10,220,22.18449198
SKU1,5/6/2011,40,220,22.18449198
SKU1,5/8/2011,11,220,22.18449198
SKU1,5/9/2011,31,220,22.18449198
SKU1,5/10/2011,63,220,22.18449198
SKU1,5/11/2011,15,220,22.18449198
SKU1,5/12/2011,61,220,22.18449198
SKU1,5/13/2011,4,220,22.18449198
SKU1,5/15/2011,2,220,22.18449198
SKU1,5/16/2011,30,220,22.18449198
SKU1,5/17/2011,70,220,22.18449198
SKU1,5/18/2011,15,220,22.18449198
SKU1,5/19/2011,81,220,22.18449198
SKU1,5/20/2011,6,220,22.18449198
SKU1,5/22/2011,20,220,22.18449198
SKU1,5/23/2011,21,220,22.18449198
SKU1,5/24/2011,17,220,22.18449198
SKU1,5/25/2011,3,220,22.18449198
SKU1,5/27/2011,1,220,22.18449198
SKU1,5/29/2011,1,220,22.18449198
SKU1,5/31/2011,2,220,22.18449198
SKU1,6/1/2011,8,220,22.18449198
